run_id,crash_time,mean_repair_queue,repairer_utilization
1,1669.8884516457895,0.012276516354851077,0.10631325764712558
2,42675.70974197718,0.010145336837627767,0.10106491966552637
3,18234.460485911804,0.01119723703860689,0.10469755489837317
4,2719.418207508735,0.013613560114960465,0.10037919343134558
5,3409.04968742386,0.008401183611320487,0.10563894655420561
6,20130.32838423109,0.011507262078066781,0.10065146924607869
7,18217.769445293216,0.008363392290630626,0.09765027523752295
8,5180.270491738013,0.00876061426365764,0.09491825615485704
9,9842.569381809242,0.008697359387045895,0.09364581221141621
10,14130.032257337873,0.01064895996879451,0.10256922546855177
11,3944.113831314995,0.009023744522592294,0.10450486227589058
12,6639.801326108498,0.010236801435892015,0.09933395655984949
13,6246.206237253206,0.012568619846658335,0.11301845148408889
14,2882.8450762746725,0.013126335337369066,0.0996891128178019
15,23096.27690682444,0.010619599540128045,0.10634078614364909
16,3865.5263470527557,0.011245753828415911,0.1058530123108228
17,3958.435764425884,0.01305531496844751,0.1025617795648699
18,3730.941840514649,0.009189007450688591,0.09678051517028484
19,1480.5216402000267,0.01344114585300047,0.10988454812803598
20,2093.7031671988925,0.01196896806199843,0.08011086879085469
21,24298.787059556515,0.011036333554060026,0.09839431302514055
22,3959.5664625032796,0.010470372991170982,0.10537944856591752
23,1357.1215050500653,0.012520972342720918,0.08939987475489795
24,44755.15139678935,0.009627001271169267,0.09926340692285589
25,8055.054546726019,0.013190409842241313,0.10431608705694882
26,10439.257230433517,0.011180754513320446,0.10326553017047531
27,10388.81269811583,0.011362646715158483,0.1042726242795093
28,3235.6671064318048,0.012933867962156346,0.09808216063319433
29,18040.192789590874,0.010672496153912978,0.09924833202953512
30,10730.606854248063,0.012557829554064502,0.10000039598002482
31,6944.245071820236,0.012934999050094825,0.10161538803463084
32,9536.283485897064,0.008196855808836504,0.09735799127090845
33,1654.5190026229393,0.015014239941812058,0.11292919338078272
34,3389.5011008072734,0.01074053332369349,0.09641661206647775
35,15579.983030796311,0.012281532130410014,0.1066825785641751
36,2956.147767601333,0.010672270860681612,0.1009867837650353
37,6074.773698497604,0.008081869391504038,0.09934919263356606
