case,beta,c,gamma,t,S,I,R
beta_high,0.07,10.0,0.25,3.797650303426786,916,42,42
beta_high,0.07,10.0,0.25,3.8464334044931885,916,41,43
beta_high,0.07,10.0,0.25,3.8514998956197255,916,40,44
beta_high,0.07,10.0,0.25,3.8588289742932234,916,39,45
beta_high,0.07,10.0,0.25,3.8604629240506645,916,38,46
beta_high,0.07,10.0,0.25,3.8623022904385453,915,39,46
beta_high,0.07,10.0,0.25,3.916012321536017,915,38,47
beta_high,0.07,10.0,0.25,3.919901596843728,914,39,47
beta_high,0.07,10.0,0.25,3.942043898038312,913,40,47
beta_high,0.07,10.0,0.25,3.969663105692912,913,39,48
beta_high,0.07,10.0,0.25,4.0227685454544755,912,40,48
beta_high,0.07,10.0,0.25,4.037382261671083,911,41,48
beta_high,0.07,10.0,0.25,4.078928215614836,911,40,49
beta_high,0.07,10.0,0.25,4.087415492153607,911,39,50
beta_high,0.07,10.0,0.25,4.143629058661042,910,40,50
beta_high,0.07,10.0,0.25,4.1580729749361875,909,41,50
beta_high,0.07,10.0,0.25,4.161981164462458,908,42,50
beta_high,0.07,10.0,0.25,4.232862311300034,907,43,50
beta_high,0.07,10.0,0.25,4.287691160781007,906,44,50
beta_high,0.07,10.0,0.25,4.324037682884431,905,45,50
beta_high,0.07,10.0,0.25,4.368543051579571,904,46,50
beta_high,0.07,10.0,0.25,4.371091535313592,903,47,50
beta_high,0.07,10.0,0.25,4.393116835792541,903,46,51
beta_high,0.07,10.0,0.25,4.414066722987214,902,47,51
beta_high,0.07,10.0,0.25,4.583172416103149,901,48,51
beta_high,0.07,10.0,0.25,4.59435224340433,901,47,52
beta_high,0.07,10.0,0.25,4.611853109600591,900,48,52
beta_high,0.07,10.0,0.25,4.622527876514427,900,47,53
beta_high,0.07,10.0,0.25,4.659676804295782,899,48,53
beta_high,0.07,10.0,0.25,4.710417442080794,898,49,53
beta_high,0.07,10.0,0.25,4.711544046613566,897,50,53
beta_high,0.07,10.0,0.25,4.759890616086553,896,51,53
beta_high,0.07,10.0,0.25,4.763851316614981,896,50,54
beta_high,0.07,10.0,0.25,4.764822468401588,896,49,55
beta_high,0.07,10.0,0.25,4.777455677556093,895,50,55
beta_high,0.07,10.0,0.25,4.8054202537359165,894,51,55
beta_high,0.07,10.0,0.25,4.811275685610597,893,52,55
beta_high,0.07,10.0,0.25,4.820747875013328,893,51,56
beta_high,0.07,10.0,0.25,4.821108121918664,893,50,57
beta_high,0.07,10.0,0.25,4.823313820608742,892,51,57
beta_high,0.07,10.0,0.25,4.842050957132787,891,52,57
beta_high,0.07,10.0,0.25,4.8531638365231435,890,53,57
beta_high,0.07,10.0,0.25,4.8548572334289934,889,54,57
beta_high,0.07,10.0,0.25,4.858246892723286,889,53,58
beta_high,0.07,10.0,0.25,4.865135522625322,888,54,58
beta_high,0.07,10.0,0.25,4.901218436170463,887,55,58
beta_high,0.07,10.0,0.25,4.902102551454576,886,56,58
beta_high,0.07,10.0,0.25,4.925407867486694,886,55,59
beta_high,0.07,10.0,0.25,4.927109828885784,885,56,59
beta_high,0.07,10.0,0.25,4.9412152248982935,884,57,59
beta_high,0.07,10.0,0.25,4.941812956732565,884,56,60
beta_high,0.07,10.0,0.25,4.947695352647083,884,55,61
beta_high,0.07,10.0,0.25,4.958033441238668,883,56,61
beta_high,0.07,10.0,0.25,4.960790178610204,882,57,61
beta_high,0.07,10.0,0.25,4.96270493777303,881,58,61
beta_high,0.07,10.0,0.25,5.020627672034543,881,57,62
beta_high,0.07,10.0,0.25,5.036876859383108,880,58,62
beta_high,0.07,10.0,0.25,5.056330644542154,879,59,62
beta_high,0.07,10.0,0.25,5.064495204745726,878,60,62
beta_high,0.07,10.0,0.25,5.064855120264054,878,59,63
beta_high,0.07,10.0,0.25,5.071062481188668,877,60,63
beta_high,0.07,10.0,0.25,5.076006567543969,877,59,64
beta_high,0.07,10.0,0.25,5.08295356090557,876,60,64
beta_high,0.07,10.0,0.25,5.123244279978412,876,59,65
beta_high,0.07,10.0,0.25,5.151005958657687,876,58,66
beta_high,0.07,10.0,0.25,5.15108940179704,876,57,67
beta_high,0.07,10.0,0.25,5.158552637891765,875,58,67
beta_high,0.07,10.0,0.25,5.16562116300763,874,59,67
beta_high,0.07,10.0,0.25,5.198789644584606,873,60,67
beta_high,0.07,10.0,0.25,5.219299529626792,872,61,67
beta_high,0.07,10.0,0.25,5.221896039779944,871,62,67
beta_high,0.07,10.0,0.25,5.224708891206752,870,63,67
beta_high,0.07,10.0,0.25,5.258713148639651,869,64,67
beta_high,0.07,10.0,0.25,5.264790943374282,868,65,67
beta_high,0.07,10.0,0.25,5.2656404054925945,867,66,67
beta_high,0.07,10.0,0.25,5.266606291542199,866,67,67
beta_high,0.07,10.0,0.25,5.2805169812771915,866,66,68
beta_high,0.07,10.0,0.25,5.326957441889528,865,67,68
beta_high,0.07,10.0,0.25,5.332534656035234,864,68,68
beta_high,0.07,10.0,0.25,5.363113028814312,863,69,68
beta_high,0.07,10.0,0.25,5.363764678632808,862,70,68
beta_high,0.07,10.0,0.25,5.369009419714372,861,71,68
beta_high,0.07,10.0,0.25,5.376037986061532,861,70,69
beta_high,0.07,10.0,0.25,5.423114766290398,860,71,69
beta_high,0.07,10.0,0.25,5.481541962501604,860,70,70
beta_high,0.07,10.0,0.25,5.488870595232262,860,69,71
beta_high,0.07,10.0,0.25,5.516328053407469,860,68,72
beta_high,0.07,10.0,0.25,5.543787181229993,859,69,72
beta_high,0.07,10.0,0.25,5.554020817013667,859,68,73
beta_high,0.07,10.0,0.25,5.558020477299888,859,67,74
beta_high,0.07,10.0,0.25,5.572807203397717,858,68,74
beta_high,0.07,10.0,0.25,5.599236268672169,858,67,75
beta_high,0.07,10.0,0.25,5.632957433766116,858,66,76
beta_high,0.07,10.0,0.25,5.635809394133995,857,67,76
beta_high,0.07,10.0,0.25,5.6446029656213454,856,68,76
beta_high,0.07,10.0,0.25,5.651764898465039,855,69,76
beta_high,0.07,10.0,0.25,5.69079402062477,854,70,76
beta_high,0.07,10.0,0.25,5.703771026894748,854,69,77
beta_high,0.07,10.0,0.25,5.714449985700537,853,70,77
beta_high,0.07,10.0,0.25,5.715637055898008,853,69,78
beta_high,0.07,10.0,0.25,5.7279390570833995,852,70,78
beta_high,0.07,10.0,0.25,5.7875830426491435,851,71,78
beta_high,0.07,10.0,0.25,5.801248206959075,850,72,78
beta_high,0.07,10.0,0.25,5.829175522829219,849,73,78
beta_high,0.07,10.0,0.25,5.840925056744042,849,72,79
beta_high,0.07,10.0,0.25,5.874294943621692,848,73,79
beta_high,0.07,10.0,0.25,5.8856396003972895,847,74,79
beta_high,0.07,10.0,0.25,5.888994809036503,846,75,79
beta_high,0.07,10.0,0.25,5.895237560985968,846,74,80
beta_high,0.07,10.0,0.25,5.910531843788916,845,75,80
beta_high,0.07,10.0,0.25,5.91156205040344,844,76,80
beta_high,0.07,10.0,0.25,5.9283600442449185,843,77,80
beta_high,0.07,10.0,0.25,5.959148720018119,843,76,81
beta_high,0.07,10.0,0.25,5.962382963086862,843,75,82
beta_high,0.07,10.0,0.25,5.9629545914901545,842,76,82
beta_high,0.07,10.0,0.25,5.987029182946712,841,77,82
beta_high,0.07,10.0,0.25,5.989581542643953,840,78,82
beta_high,0.07,10.0,0.25,5.995047664344648,839,79,82
beta_high,0.07,10.0,0.25,6.002313585772425,839,78,83
beta_high,0.07,10.0,0.25,6.039371926304218,838,79,83
beta_high,0.07,10.0,0.25,6.098064587428965,837,80,83
beta_high,0.07,10.0,0.25,6.099176331068509,837,79,84
beta_high,0.07,10.0,0.25,6.105930224851291,836,80,84
beta_high,0.07,10.0,0.25,6.115907165044147,835,81,84
beta_high,0.07,10.0,0.25,6.117458464623016,834,82,84
beta_high,0.07,10.0,0.25,6.144566999237018,833,83,84
beta_high,0.07,10.0,0.25,6.157503510762123,832,84,84
beta_high,0.07,10.0,0.25,6.1626801954102515,831,85,84
beta_high,0.07,10.0,0.25,6.175694477837812,830,86,84
beta_high,0.07,10.0,0.25,6.192274886581494,829,87,84
beta_high,0.07,10.0,0.25,6.2168773567953695,828,88,84
beta_high,0.07,10.0,0.25,6.233635436995532,827,89,84
beta_high,0.07,10.0,0.25,6.23615986793901,826,90,84
beta_high,0.07,10.0,0.25,6.252988882811181,825,91,84
beta_high,0.07,10.0,0.25,6.336773418985655,825,90,85
beta_high,0.07,10.0,0.25,6.339184861613077,825,89,86
beta_high,0.07,10.0,0.25,6.339489974713152,825,88,87
beta_high,0.07,10.0,0.25,6.34117489236109,824,89,87
beta_high,0.07,10.0,0.25,6.355787740031368,823,90,87
beta_high,0.07,10.0,0.25,6.357559242157255,823,89,88
beta_high,0.07,10.0,0.25,6.372160541451036,822,90,88
beta_high,0.07,10.0,0.25,6.388447782490728,821,91,88
beta_high,0.07,10.0,0.25,6.406666069571587,820,92,88
beta_high,0.07,10.0,0.25,6.412282860212105,820,91,89
beta_high,0.07,10.0,0.25,6.414888601153981,819,92,89
beta_high,0.07,10.0,0.25,6.41593762303871,819,91,90
beta_high,0.07,10.0,0.25,6.425616351835507,818,92,90
beta_high,0.07,10.0,0.25,6.427765029580689,818,91,91
beta_high,0.07,10.0,0.25,6.430573903739415,818,90,92
beta_high,0.07,10.0,0.25,6.4312317123409874,817,91,92
beta_high,0.07,10.0,0.25,6.432107103729917,816,92,92
beta_high,0.07,10.0,0.25,6.4514965710302254,815,93,92
beta_high,0.07,10.0,0.25,6.48618103246616,814,94,92
beta_high,0.07,10.0,0.25,6.498999570308514,813,95,92
beta_high,0.07,10.0,0.25,6.523261332111167,812,96,92
beta_high,0.07,10.0,0.25,6.527446304700388,811,97,92
beta_high,0.07,10.0,0.25,6.560533844289861,810,98,92
beta_high,0.07,10.0,0.25,6.564225071453839,809,99,92
beta_high,0.07,10.0,0.25,6.580241277028101,809,98,93
beta_high,0.07,10.0,0.25,6.5809914422265114,808,99,93
beta_high,0.07,10.0,0.25,6.581540617754749,807,100,93
beta_high,0.07,10.0,0.25,6.5820543236549724,806,101,93
beta_high,0.07,10.0,0.25,6.599736282545422,805,102,93
beta_high,0.07,10.0,0.25,6.600480538877601,804,103,93
beta_high,0.07,10.0,0.25,6.604215407207514,803,104,93
beta_high,0.07,10.0,0.25,6.613277978822026,803,103,94
beta_high,0.07,10.0,0.25,6.617752368361362,803,102,95
beta_high,0.07,10.0,0.25,6.619647794530671,802,103,95
beta_high,0.07,10.0,0.25,6.647068766470665,801,104,95
beta_high,0.07,10.0,0.25,6.6597550241312256,801,103,96
beta_high,0.07,10.0,0.25,6.676382518893663,800,104,96
beta_high,0.07,10.0,0.25,6.696509919615968,800,103,97
beta_high,0.07,10.0,0.25,6.701374473932849,799,104,97
beta_high,0.07,10.0,0.25,6.7041694490947865,799,103,98
beta_high,0.07,10.0,0.25,6.714293611234058,798,104,98
beta_high,0.07,10.0,0.25,6.732701414802511,797,105,98
beta_high,0.07,10.0,0.25,6.7513341257020905,797,104,99
beta_high,0.07,10.0,0.25,6.7588135055449206,796,105,99
beta_high,0.07,10.0,0.25,6.772644968029914,795,106,99
beta_high,0.07,10.0,0.25,6.785589369433433,794,107,99
beta_high,0.07,10.0,0.25,6.787744367316629,794,106,100
beta_high,0.07,10.0,0.25,6.799031145579203,793,107,100
beta_high,0.07,10.0,0.25,6.8017973223303985,793,106,101
beta_high,0.07,10.0,0.25,6.808348112768977,792,107,101
beta_high,0.07,10.0,0.25,6.820311823593682,791,108,101
beta_high,0.07,10.0,0.25,6.826903404706927,790,109,101
beta_high,0.07,10.0,0.25,6.82790259425216,789,110,101
beta_high,0.07,10.0,0.25,6.837168076148078,788,111,101
beta_high,0.07,10.0,0.25,6.8464469637077245,787,112,101
beta_high,0.07,10.0,0.25,6.849274869390347,787,111,102
beta_high,0.07,10.0,0.25,6.853666504633497,786,112,102
beta_high,0.07,10.0,0.25,6.8538130531310495,785,113,102
beta_high,0.07,10.0,0.25,6.853920749923346,784,114,102
beta_high,0.07,10.0,0.25,6.863207020697592,784,113,103
beta_high,0.07,10.0,0.25,6.88673906783553,783,114,103
beta_high,0.07,10.0,0.25,6.900180564542165,782,115,103
beta_high,0.07,10.0,0.25,6.901239756616778,782,114,104
beta_high,0.07,10.0,0.25,6.9346202480351655,782,113,105
beta_high,0.07,10.0,0.25,6.988416050424086,781,114,105
beta_high,0.07,10.0,0.25,6.991741374455254,781,113,106
beta_high,0.07,10.0,0.25,7.002730499464223,781,112,107
beta_high,0.07,10.0,0.25,7.042640376785388,780,113,107
beta_high,0.07,10.0,0.25,7.0469120360539,780,112,108
beta_high,0.07,10.0,0.25,7.085532744756329,779,113,108
beta_high,0.07,10.0,0.25,7.0939663054074025,778,114,108
beta_high,0.07,10.0,0.25,7.094884661727562,778,113,109
beta_high,0.07,10.0,0.25,7.094968931486282,778,112,110
beta_high,0.07,10.0,0.25,7.112926233233355,778,111,111
beta_high,0.07,10.0,0.25,7.123918648408493,777,112,111
beta_high,0.07,10.0,0.25,7.145805481611846,776,113,111
beta_high,0.07,10.0,0.25,7.158447817596853,775,114,111
beta_high,0.07,10.0,0.25,7.168774482340405,775,113,112
beta_high,0.07,10.0,0.25,7.179247787171866,774,114,112
beta_high,0.07,10.0,0.25,7.179482470413847,773,115,112
beta_high,0.07,10.0,0.25,7.1795158784207125,772,116,112
beta_high,0.07,10.0,0.25,7.185596435539259,772,115,113
beta_high,0.07,10.0,0.25,7.207655392759246,771,116,113
beta_high,0.07,10.0,0.25,7.208690261240852,770,117,113
beta_high,0.07,10.0,0.25,7.21479492079539,770,116,114
beta_high,0.07,10.0,0.25,7.220548149024322,769,117,114
beta_high,0.07,10.0,0.25,7.229053529421681,768,118,114
beta_high,0.07,10.0,0.25,7.229489321201418,767,119,114
beta_high,0.07,10.0,0.25,7.230049958446604,766,120,114
beta_high,0.07,10.0,0.25,7.2595906563983625,765,121,114
beta_high,0.07,10.0,0.25,7.282363620460892,765,120,115
beta_high,0.07,10.0,0.25,7.28564824505418,764,121,115
beta_high,0.07,10.0,0.25,7.29105294926281,763,122,115
beta_high,0.07,10.0,0.25,7.311442798285174,763,121,116
beta_high,0.07,10.0,0.25,7.326386342428143,762,122,116
beta_high,0.07,10.0,0.25,7.34148401316886,761,123,116
beta_high,0.07,10.0,0.25,7.346388283657152,761,122,117
beta_high,0.07,10.0,0.25,7.3597558633858835,761,121,118
beta_high,0.07,10.0,0.25,7.361982578383227,760,122,118
beta_high,0.07,10.0,0.25,7.390700701562885,759,123,118
beta_high,0.07,10.0,0.25,7.398565273237679,758,124,118
beta_high,0.07,10.0,0.25,7.400915353488719,757,125,118
beta_high,0.07,10.0,0.25,7.40994192198356,757,124,119
beta_high,0.07,10.0,0.25,7.432823523888933,756,125,119
beta_high,0.07,10.0,0.25,7.434244884550626,755,126,119
beta_high,0.07,10.0,0.25,7.441640555680988,754,127,119
beta_high,0.07,10.0,0.25,7.444412011843309,753,128,119
beta_high,0.07,10.0,0.25,7.463154716349896,753,127,120
beta_high,0.07,10.0,0.25,7.477440699722757,752,128,120
beta_high,0.07,10.0,0.25,7.500763390063006,751,129,120
beta_high,0.07,10.0,0.25,7.50534013580677,750,130,120
beta_high,0.07,10.0,0.25,7.50736255587548,749,131,120
beta_high,0.07,10.0,0.25,7.510965795156104,749,130,121
beta_high,0.07,10.0,0.25,7.531418227424206,748,131,121
beta_high,0.07,10.0,0.25,7.544808966430267,747,132,121
beta_high,0.07,10.0,0.25,7.545217851059299,747,131,122
beta_high,0.07,10.0,0.25,7.55842738222951,747,130,123
beta_high,0.07,10.0,0.25,7.578410267265535,747,129,124
beta_high,0.07,10.0,0.25,7.58132775631716,746,130,124
beta_high,0.07,10.0,0.25,7.587831324093009,745,131,124
beta_high,0.07,10.0,0.25,7.591527110302451,744,132,124
beta_high,0.07,10.0,0.25,7.609948227838598,743,133,124
beta_high,0.07,10.0,0.25,7.626807319040098,742,134,124
beta_high,0.07,10.0,0.25,7.629723555980379,741,135,124
beta_high,0.07,10.0,0.25,7.631057839638744,741,134,125
beta_high,0.07,10.0,0.25,7.646007334436101,740,135,125
beta_high,0.07,10.0,0.25,7.649334307347615,739,136,125
beta_high,0.07,10.0,0.25,7.6647070851594625,738,137,125
beta_high,0.07,10.0,0.25,7.6708467821270325,737,138,125
beta_high,0.07,10.0,0.25,7.672537587422373,737,137,126
beta_high,0.07,10.0,0.25,7.685305308201478,736,138,126
beta_high,0.07,10.0,0.25,7.685386953981354,735,139,126
beta_high,0.07,10.0,0.25,7.69036654061247,734,140,126
beta_high,0.07,10.0,0.25,7.698946524581345,733,141,126
beta_high,0.07,10.0,0.25,7.700813068535527,732,142,126
beta_high,0.07,10.0,0.25,7.702164673756947,731,143,126
beta_high,0.07,10.0,0.25,7.7057665310338574,730,144,126
beta_high,0.07,10.0,0.25,7.716690133262023,729,145,126
beta_high,0.07,10.0,0.25,7.726226327549828,728,146,126
beta_high,0.07,10.0,0.25,7.727532241661511,728,145,127
beta_high,0.07,10.0,0.25,7.729539574252802,727,146,127
beta_high,0.07,10.0,0.25,7.746953550143719,726,147,127
beta_high,0.07,10.0,0.25,7.7844293453881335,725,148,127
beta_high,0.07,10.0,0.25,7.7913441979459925,724,149,127
beta_high,0.07,10.0,0.25,7.8071595122852715,723,150,127
beta_high,0.07,10.0,0.25,7.810614802123707,723,149,128
beta_high,0.07,10.0,0.25,7.8216256243336675,722,150,128
beta_high,0.07,10.0,0.25,7.83962944105742,721,151,128
beta_high,0.07,10.0,0.25,7.849647779206834,721,150,129
beta_high,0.07,10.0,0.25,7.868412383496842,720,151,129
beta_high,0.07,10.0,0.25,7.879531318139962,719,152,129
beta_high,0.07,10.0,0.25,7.888488047116119,718,153,129
beta_high,0.07,10.0,0.25,7.909802163600931,717,154,129
beta_high,0.07,10.0,0.25,7.914384075869296,717,153,130
beta_high,0.07,10.0,0.25,7.914717871366026,716,154,130
beta_high,0.07,10.0,0.25,7.9166470697847195,715,155,130
beta_high,0.07,10.0,0.25,7.928958639233156,714,156,130
beta_high,0.07,10.0,0.25,7.930760777025162,713,157,130
beta_high,0.07,10.0,0.25,7.946248416242428,712,158,130
beta_high,0.07,10.0,0.25,7.9498768964155015,711,159,130
beta_high,0.07,10.0,0.25,7.960002221073826,710,160,130
beta_high,0.07,10.0,0.25,7.963510412436232,710,159,131
beta_high,0.07,10.0,0.25,7.969717302259273,709,160,131
beta_high,0.07,10.0,0.25,7.980682045444343,708,161,131
beta_high,0.07,10.0,0.25,7.981367881287953,707,162,131
beta_high,0.07,10.0,0.25,7.992980452295182,706,163,131
beta_high,0.07,10.0,0.25,8.00814433320805,705,164,131
beta_high,0.07,10.0,0.25,8.014231386144777,704,165,131
beta_high,0.07,10.0,0.25,8.030450671194103,704,164,132
beta_high,0.07,10.0,0.25,8.037742724560648,703,165,132
beta_high,0.07,10.0,0.25,8.050140633792784,703,164,133
beta_high,0.07,10.0,0.25,8.051318778757214,702,165,133
beta_high,0.07,10.0,0.25,8.060658825043019,701,166,133
beta_high,0.07,10.0,0.25,8.066040451710622,700,167,133
beta_high,0.07,10.0,0.25,8.070097635676557,699,168,133
beta_high,0.07,10.0,0.25,8.07077383074912,698,169,133
beta_high,0.07,10.0,0.25,8.087288173173116,698,168,134
beta_high,0.07,10.0,0.25,8.098964211846592,697,169,134
beta_high,0.07,10.0,0.25,8.117236753052875,696,170,134
beta_high,0.07,10.0,0.25,8.12307700568689,696,169,135
beta_high,0.07,10.0,0.25,8.156935639377982,695,170,135
beta_high,0.07,10.0,0.25,8.162233701348466,694,171,135
beta_high,0.07,10.0,0.25,8.168455405262815,693,172,135
beta_high,0.07,10.0,0.25,8.189888691222649,692,173,135
beta_high,0.07,10.0,0.25,8.199574315015152,691,174,135
beta_high,0.07,10.0,0.25,8.215798133253692,691,173,136
beta_high,0.07,10.0,0.25,8.227286117390701,690,174,136
beta_high,0.07,10.0,0.25,8.22961987081676,689,175,136
beta_high,0.07,10.0,0.25,8.230902273924169,688,176,136
beta_high,0.07,10.0,0.25,8.256850870437455,688,175,137
beta_high,0.07,10.0,0.25,8.262235210476318,687,176,137
beta_high,0.07,10.0,0.25,8.26411391081084,687,175,138
beta_high,0.07,10.0,0.25,8.264308707629919,687,174,139
beta_high,0.07,10.0,0.25,8.268235363473037,686,175,139
beta_high,0.07,10.0,0.25,8.28835025931244,685,176,139
beta_high,0.07,10.0,0.25,8.29529734961971,684,177,139
beta_high,0.07,10.0,0.25,8.311509423190497,684,176,140
beta_high,0.07,10.0,0.25,8.31851583986648,683,177,140
beta_high,0.07,10.0,0.25,8.319867560802143,682,178,140
beta_high,0.07,10.0,0.25,8.328712554113126,681,179,140
beta_high,0.07,10.0,0.25,8.334939490622146,681,178,141
beta_high,0.07,10.0,0.25,8.339656415833765,681,177,142
beta_high,0.07,10.0,0.25,8.341811622647814,680,178,142
beta_high,0.07,10.0,0.25,8.342184980814869,679,179,142
beta_high,0.07,10.0,0.25,8.347432135784048,678,180,142
beta_high,0.07,10.0,0.25,8.355907590251233,677,181,142
beta_high,0.07,10.0,0.25,8.382181072348493,677,180,143
beta_high,0.07,10.0,0.25,8.383510526821365,676,181,143
beta_high,0.07,10.0,0.25,8.397523401439571,676,180,144
beta_high,0.07,10.0,0.25,8.400028589150939,675,181,144
beta_high,0.07,10.0,0.25,8.4001693245109,674,182,144
beta_high,0.07,10.0,0.25,8.401380641607654,674,181,145
beta_high,0.07,10.0,0.25,8.402617724803205,673,182,145
beta_high,0.07,10.0,0.25,8.404455570361922,673,181,146
beta_high,0.07,10.0,0.25,8.407136434200607,673,180,147
beta_high,0.07,10.0,0.25,8.4088508966179,673,179,148
beta_high,0.07,10.0,0.25,8.410847444487077,672,180,148
beta_high,0.07,10.0,0.25,8.412965706115799,672,179,149
beta_high,0.07,10.0,0.25,8.414678654187218,671,180,149
beta_high,0.07,10.0,0.25,8.418513397401199,670,181,149
beta_high,0.07,10.0,0.25,8.426676538644895,670,180,150
beta_high,0.07,10.0,0.25,8.4275289754847,669,181,150
beta_high,0.07,10.0,0.25,8.432541386092327,668,182,150
beta_high,0.07,10.0,0.25,8.439556795322858,668,181,151
beta_high,0.07,10.0,0.25,8.471794394461373,668,180,152
beta_high,0.07,10.0,0.25,8.47293387359037,667,181,152
beta_high,0.07,10.0,0.25,8.49210828654477,666,182,152
beta_high,0.07,10.0,0.25,8.492346075703242,666,181,153
beta_high,0.07,10.0,0.25,8.49900623775569,665,182,153
beta_high,0.07,10.0,0.25,8.511833967160486,664,183,153
beta_high,0.07,10.0,0.25,8.513931342875116,664,182,154
beta_high,0.07,10.0,0.25,8.514772842459463,664,181,155
beta_high,0.07,10.0,0.25,8.518890744216716,664,180,156
beta_high,0.07,10.0,0.25,8.531645060630263,663,181,156
beta_high,0.07,10.0,0.25,8.536772446706388,663,180,157
beta_high,0.07,10.0,0.25,8.537228467047095,662,181,157
beta_high,0.07,10.0,0.25,8.540302095583096,662,180,158
beta_high,0.07,10.0,0.25,8.544344259504278,662,179,159
beta_high,0.07,10.0,0.25,8.549266154101574,661,180,159
beta_high,0.07,10.0,0.25,8.572489645903678,661,179,160
beta_high,0.07,10.0,0.25,8.572628968266379,660,180,160
beta_high,0.07,10.0,0.25,8.57285212030039,660,179,161
beta_high,0.07,10.0,0.25,8.573477993199866,660,178,162
beta_high,0.07,10.0,0.25,8.576363713696395,659,179,162
beta_high,0.07,10.0,0.25,8.578522657408683,659,178,163
beta_high,0.07,10.0,0.25,8.589468934833581,658,179,163
beta_high,0.07,10.0,0.25,8.590164177976504,658,178,164
beta_high,0.07,10.0,0.25,8.595899213323188,657,179,164
beta_high,0.07,10.0,0.25,8.62214454384626,656,180,164
beta_high,0.07,10.0,0.25,8.622819169878758,656,179,165
beta_high,0.07,10.0,0.25,8.646355599696061,656,178,166
beta_high,0.07,10.0,0.25,8.678649309029153,655,179,166
beta_high,0.07,10.0,0.25,8.685000069896137,654,180,166
beta_high,0.07,10.0,0.25,8.689666115873312,653,181,166
beta_high,0.07,10.0,0.25,8.691815330607188,653,180,167
beta_high,0.07,10.0,0.25,8.694170651399677,652,181,167
beta_high,0.07,10.0,0.25,8.70080837056827,651,182,167
beta_high,0.07,10.0,0.25,8.700922653840621,651,181,168
beta_high,0.07,10.0,0.25,8.712323956369103,651,180,169
beta_high,0.07,10.0,0.25,8.71429596736265,651,179,170
beta_high,0.07,10.0,0.25,8.721231272543358,651,178,171
beta_high,0.07,10.0,0.25,8.724865934622553,651,177,172
beta_high,0.07,10.0,0.25,8.731176334902427,651,176,173
beta_high,0.07,10.0,0.25,8.743924900771228,651,175,174
beta_high,0.07,10.0,0.25,8.745363145945007,650,176,174
beta_high,0.07,10.0,0.25,8.745846642313428,650,175,175
beta_high,0.07,10.0,0.25,8.753676377051729,649,176,175
beta_high,0.07,10.0,0.25,8.77310900202793,649,175,176
beta_high,0.07,10.0,0.25,8.773585435847886,649,174,177
beta_high,0.07,10.0,0.25,8.793315559812903,649,173,178
beta_high,0.07,10.0,0.25,8.81788950372508,648,174,178
beta_high,0.07,10.0,0.25,8.821409384768971,647,175,178
beta_high,0.07,10.0,0.25,8.827278860352912,647,174,179
beta_high,0.07,10.0,0.25,8.849359362883625,646,175,179
beta_high,0.07,10.0,0.25,8.850310621592172,645,176,179
beta_high,0.07,10.0,0.25,8.853363289737002,644,177,179
beta_high,0.07,10.0,0.25,8.861355085210525,644,176,180
beta_high,0.07,10.0,0.25,8.875221063151926,644,175,181
beta_high,0.07,10.0,0.25,8.881567530527068,643,176,181
beta_high,0.07,10.0,0.25,8.885689498832804,642,177,181
beta_high,0.07,10.0,0.25,8.886993870424323,641,178,181
beta_high,0.07,10.0,0.25,8.888099092195791,641,177,182
beta_high,0.07,10.0,0.25,8.905168203488156,641,176,183
beta_high,0.07,10.0,0.25,8.924064851793174,640,177,183
beta_high,0.07,10.0,0.25,8.931131128580681,639,178,183
beta_high,0.07,10.0,0.25,8.945131748927286,638,179,183
beta_high,0.07,10.0,0.25,8.952028264001486,638,178,184
beta_high,0.07,10.0,0.25,8.952553452848619,638,177,185
beta_high,0.07,10.0,0.25,8.95621526875588,637,178,185
beta_high,0.07,10.0,0.25,8.956593458150063,637,177,186
beta_high,0.07,10.0,0.25,8.96033787885108,637,176,187
beta_high,0.07,10.0,0.25,8.9709285263118,637,175,188
beta_high,0.07,10.0,0.25,8.976928497453368,637,174,189
beta_high,0.07,10.0,0.25,8.983040515259543,637,173,190
beta_high,0.07,10.0,0.25,8.995142103705092,636,174,190
beta_high,0.07,10.0,0.25,9.004156855280401,636,173,191
beta_high,0.07,10.0,0.25,9.016377999124423,636,172,192
beta_high,0.07,10.0,0.25,9.01925597733977,635,173,192
beta_high,0.07,10.0,0.25,9.02042069983555,635,172,193
beta_high,0.07,10.0,0.25,9.02642731665251,634,173,193
beta_high,0.07,10.0,0.25,9.030024058602955,633,174,193
beta_high,0.07,10.0,0.25,9.042333616650042,633,173,194
beta_high,0.07,10.0,0.25,9.043893977243451,632,174,194
beta_high,0.07,10.0,0.25,9.072579315202526,631,175,194
beta_high,0.07,10.0,0.25,9.07805092399596,630,176,194
beta_high,0.07,10.0,0.25,9.07983898185375,629,177,194
beta_high,0.07,10.0,0.25,9.08461007924553,629,176,195
beta_high,0.07,10.0,0.25,9.084685881317768,628,177,195
beta_high,0.07,10.0,0.25,9.090662914427712,628,176,196
beta_high,0.07,10.0,0.25,9.098929024456158,627,177,196
beta_high,0.07,10.0,0.25,9.109275106566303,626,178,196
beta_high,0.07,10.0,0.25,9.110759514110171,625,179,196
beta_high,0.07,10.0,0.25,9.112687992794289,624,180,196
beta_high,0.07,10.0,0.25,9.112962320081973,623,181,196
beta_high,0.07,10.0,0.25,9.115377171887559,623,180,197
